city,city_name,event_name,url,fee,date,join_cnt
beijing,北京,达·芬奇与他的艺术群体---原作展,https://www.douban.com/event/32618378/,120元(单人票),2019-09-12T09:00:00,38
beijing,北京,我这有个厨房，你能让我吃上饭吗,https://www.douban.com/event/32569792/,39元(会员价),2019-07-26T20:00:00,54
beijing,北京,三观炸裂的大脑派对，读心术，巫术，催眠，心灵魔术你敢来吗？,https://www.douban.com/event/32676356/,免费,2019-09-07T15:00:00,40
beijing,北京,中秋三日@长白山天池秘境 | 见证《盗墓笔记》,https://www.douban.com/event/32747476/,980元(会员价),2019-08-30T07:00:00,92
beijing,北京,勇敢者的游戏，火爆中国的网红鬼屋，等你闯关,https://www.douban.com/event/32629562/,免费,2019-08-03T14:00:00,55
beijing,北京,打破，你的，思维，瓶颈！,https://www.douban.com/event/32701515/,免费,2019-08-24T14:00:00,36
beijing,北京,【舞蹈体验课】芭蕾形体&Lady Sway,https://www.douban.com/event/32422056/,30元(单人单次课程体验票),2019-07-02T19:00:00,99
beijing,北京,中秋/国庆| 姹紫嫣红 金草尽染  乌兰布统草原 重新定义秋的景色,https://www.douban.com/event/32628917/,599元(活动费用),2019-08-03T07:30:00,49
beijing,北京,跨界交互展 —“黑匣子”,https://www.douban.com/event/32377045/,61 - 68元,2019-06-29T10:00:00,31
beijing,北京,乐队的夏天，唱歌、乐器免费培训交流，人生得玩一次乐队,https://www.douban.com/event/32450269/,免费,2019-07-06T06:00:00,102
beijing,北京,摇滚音乐剧《空中花园谋杀案》,https://www.douban.com/event/32231948/,100 - 399元,2019-09-10T19:30:00,22
beijing,北京,古琴公益丨【太昊琴社】免费公益课，共14课时，我们会一直做下去！,https://www.douban.com/event/32428912/,免费,2019-09-01T10:00:00,33
beijing,北京,【周末】“北京地铁逃脱”全新都市解谜冒险实景游戏——典藏铁盒版！,https://www.douban.com/event/32282414/,59元(地铁逃脱),2019-09-01T10:00:00,21
beijing,北京,何冀平编剧话剧《德龄与慈禧》,https://www.douban.com/event/32552484/,100 - 3300元,2019-09-11T19:30:00,29
beijing,北京,北京成人零基础手绘课程画室！,https://www.douban.com/event/31235343/,29.9元(材料费+教学),2019-06-20T09:30:00,39
beijing,北京,中秋国庆红海滩海上观明月·山海关长城·盘锦红海滩·锦州笔架山,https://www.douban.com/event/32446316/,99元(预付款),2019-08-17T07:30:00,33
beijing,北京,用鼓声探索非洲！非洲鼓周末公开课！,https://www.douban.com/event/31844663/,免费,2019-09-07T13:30:00,26
beijing,北京,复古英伦浪漫Softer Still 新专辑《Nuances》巡演 北京站,https://www.douban.com/event/32385733/,100元(早鸟票),2019-09-12T20:30:00,16
beijing,北京,国庆假期| 行摄川西大环线·魅力稻城亚丁·海螺沟,https://www.douban.com/event/32628943/,2980元(活动费用),2019-08-03T07:30:00,89
beijing,北京,不可能的艺术：纪念碑谷2视错觉主题艺术展,https://www.douban.com/event/32746314/,82 - 260元,2019-08-25T10:30:00,17
beijing,北京,国庆| 西北偏北 北疆最美| 秋天的喀纳斯，是你来了就不想走的地方,https://www.douban.com/event/32628934/,3680元(活动费用),2019-08-01T07:30:00,78
beijing,北京,露天展览：北京故事线——29座建筑串起1000年的历史,https://www.douban.com/event/32579310/,69元(普通票),2019-07-04T09:00:00,131
beijing,北京,国庆| 西北大环线*青海湖*额济纳胡杨林*尽赏西北金秋（卧铺大巴）,https://www.douban.com/event/32689457/,2000元(订金),2019-09-10T19:30:00,77
beijing,北京,国庆假期| 经典大西北环线| 醉美额济纳胡杨林·一生最值得看的风景,https://www.douban.com/event/32689531/,2000元(订金),2019-09-10T08:00:00,47
beijing,北京,心理咨询师与心理学爱好者分享交流学习实践小组,https://www.douban.com/event/32132948/,免费,2019-07-25T14:00:00,31
beijing,北京,古北水镇 | 逛长城下的星空小镇，给自己疲惫的心放个假~,https://www.douban.com/event/32791641/,238元(一人),2019-09-10T07:30:00,9
beijing,北京,网红蹦床-锁新姿势-带你体验空中芭蕾1天活动,https://www.douban.com/event/32708342/,89元(成人),2019-08-24T16:00:00,55
beijing,北京,银河社区 沉浸式体验活动空间,https://www.douban.com/event/32462671/,68元(早鸟票),2019-06-28T13:00:00,82
beijing,北京,超值钢琴课体验课--36元学会两首钢琴曲,https://www.douban.com/event/32442853/,36元(单人课程),2019-08-25T10:00:00,16
beijing,北京,【国庆】长岛·蓬莱阁·万鸟岛·候叽岛·庙岛·海豹苑·八仙过海,https://www.douban.com/event/32446385/,299元(预付款),2019-08-17T07:30:00,28
beijing,北京,2019北京机器人展览会,https://www.douban.com/event/31864529/,免费,2019-10-24T10:00:00,31
beijing,北京,喵呜不停·城市之猫主题摄影展,https://www.douban.com/event/32794241/,免费,2019-09-10T10:00:00,41
beijing,北京,NBA巡回展—京彩无限,https://www.douban.com/event/32435950/,75元(早鸟票),2019-07-13T10:00:00,76
beijing,北京,"80，90青春自救会,无压力的认识新朋友",https://www.douban.com/event/32754294/,免费,2019-10-01T18:00:00,45
beijing,北京,「慢半拍跑步&网球社团」全城招募跑步网球爱好者~跑向美好，网罗快乐,https://www.douban.com/event/32543581/,免费,2019-07-13T16:30:00,50
beijing,北京,莫斯科拉赫玛尼诺夫三重奏音乐会,https://www.douban.com/event/31813646/,53 - 294元,2019-09-26T19:30:00,17
beijing,北京,爸爸去哪儿拍摄地灵水村免费品秋粥-古村探索-龙门涧8公里休闲徒步,https://www.douban.com/event/32731015/,80元(成人),2019-08-31T07:30:00,46
beijing,北京,过曝社交+k歌+模拟人生桌游！让你重新认识自己的同时认识新朋友,https://www.douban.com/event/32565155/,54元(活动费),2019-09-01T13:30:00,41
beijing,北京,下班后给生活加点料｜认识有趣的人  帝都最欢乐的聚会,https://www.douban.com/event/32753378/,免费,2019-09-16T18:00:00,45
beijing,北京,【7.27】撕名牌之警匪殊途！警察、劫匪、平民三方之间的战争！,https://www.douban.com/event/32586741/,39元(活动费),2019-07-27T15:00:00,54
beijing,北京,中国画基础课!,https://www.douban.com/event/31287531/,30元(文房四宝+颜料+场地费),2019-07-04T14:00:00,30
beijing,北京,周末！我们一起去摄影吧！帝都拍照圣地大盘点我们逛个遍！（长期活动,https://www.douban.com/event/31841325/,免费,2019-07-13T14:00:00,36
beijing,北京,周末在四九城打一场羽毛球,https://www.douban.com/event/32455914/,49元(会员价),2019-07-28T14:00:00,46
beijing,北京,即兴喜剧夜|超强解压团队-爆笑开演！,https://www.douban.com/event/32451213/,80元(VIP票),2019-07-06T19:30:00,59
beijing,北京,失恋历史馆,https://www.douban.com/event/32458633/,59元(平日票),2019-07-01T10:00:00,62
beijing,北京,休闲聚会 | 体验塔罗牌占卜，开启你的奇妙之旅,https://www.douban.com/event/31324669/,免费,2019-11-02T14:00:00,25
beijing,北京,“蹦床·飞檐走壁·魔鬼滑梯·蜘蛛墙·5000㎡乐园，往返免费接送~,https://www.douban.com/event/32462557/,84元(活动费),2019-08-31T14:30:00,30
beijing,北京,"[中秋|国庆]北方小乌镇,星空下的古北水镇,张裕爱斐堡2日游活动",https://www.douban.com/event/32693260/,399元(成人),2019-09-07T09:00:00,40
beijing,北京,周六下午，穿行老北京胡同，来一场说走就走的人文之旅,https://www.douban.com/event/32679197/,49元(费用),2019-08-17T14:00:00,42
beijing,北京,中国歌剧舞剧院舞剧《孔子》,https://www.douban.com/event/31906759/,180 - 906元,2019-09-26T19:30:00,20
beijing,北京,爱乐之城-唯美浪漫经典名曲视听音乐会,https://www.douban.com/event/32563603/,84 - 760元,2019-09-07T19:30:00,14
beijing,北京,你信不信？这场神秘的课程会让你三观倾覆，欲罢不能！！！,https://www.douban.com/event/32792851/,免费,2019-09-13T14:00:00,31
beijing,北京,每周六晚 奥森荧光跑【免费&赠物资】全民健身 5公里,https://www.douban.com/event/32687443/,免费,2019-08-24T19:00:00,51
beijing,北京,我们的未来与未来的我们——北京国际CG艺术双年展,https://www.douban.com/event/32777839/,80元(预售票（展期通用）)起,2019-09-07T11:00:00,27
beijing,北京,2019中国（北京）国际文具及办公用品博览会,https://www.douban.com/event/31970970/,免费,2019-10-18T09:00:00,15
beijing,北京,【国庆】畅游平遥古城·乔家大院·云冈石窟，悬空寺山西三日,https://www.douban.com/event/32446370/,299元(预付款),2019-08-17T07:30:00,24
beijing,北京,来挑战地心引力---北京最好攀岩馆（新手体验）,https://www.douban.com/event/32606188/,108元(单人),2019-08-04T14:00:00,35
beijing,北京,【周六】零基础组乐队！乐队的夏天（不会乐器也可以参与）,https://www.douban.com/event/32707924/,78元(活动费),2019-08-24T14:00:00,52
beijing,北京,The Black Box——“黑匣子”艺术展,https://www.douban.com/event/32388728/,58元(早鸟票),2019-06-28T10:30:00,52
beijing,北京,走出自己的舒适区 认识更多有趣的灵魂，给生活加点调,https://www.douban.com/event/32550005/,免费,2019-07-19T18:30:00,36
beijing,北京,帝都女神打造计划—— 带你玩转化妆&服装搭配,https://www.douban.com/event/32408504/,免费,2019-06-22T13:00:00,73
beijing,北京,【周末】惊悚古风剧本杀《蛊魂铃》+k歌,https://www.douban.com/event/32365950/,84元(活动费用),2019-08-31T14:00:00,32
beijing,北京,园说——北京古典名园文物展,https://www.douban.com/event/32272389/,免费,2019-08-25T09:00:00,19
beijing,北京,【周日】真人RPG游戏，“疯狂c4”拆除炸弹你就是游戏之王,https://www.douban.com/event/32212093/,29元(首发),2019-07-21T15:00:00,21
beijing,北京,世界图像：徐冰《蜻蜓之眼》,https://www.douban.com/event/32664147/,58元(双展秒杀),2019-08-20T10:00:00,22
beijing,北京,【周日】一起在开放式全民K歌大厅唱歌，一起在吃喝玩乐中度过周末！,https://www.douban.com/event/32733690/,免费,2019-09-01T16:00:00,30
beijing,北京,个人形象管理—穿出你的个人魅力,https://www.douban.com/event/31865112/,100元(场 地费),2019-09-08T09:00:00,41
beijing,北京,亲子水乐园牙山龙门湖｜沙滩欢乐水世界-沙滩海啸-大喇叭-过山车40项,https://www.douban.com/event/32585749/,158元(全包),2019-07-27T07:30:00,33
beijing,北京,万紫千红：中国古代花木题材文物特展,https://www.douban.com/event/32746254/,60元(入馆门票),2019-09-03T08:30:00,18
beijing,北京,透过紫微星相学看2019年运势！,https://www.douban.com/event/31521460/,15元(     茶水费),2019-08-02T13:00:00,26
beijing,北京,’碰撞出一年后的自己 ”------------- ?有品格青年集合发声,https://www.douban.com/event/32661857/,免费,2019-08-08T18:30:00,20
beijing,北京,2019北京义工联盟各孤儿院、敬老院招募义工,https://www.douban.com/event/32673583/,免费,2019-09-14T08:30:00,20
beijing,北京,【周末】 “约绘”零基础油画体验活动,https://www.douban.com/event/32768498/,68元(活动费),2019-09-07T14:00:00,30
beijing,北京,桑迪亚哥·达涅兹：回到自然,https://www.douban.com/event/32777185/,免费,2019-08-29T10:00:00,22
beijing,北京,茶道初体验,https://www.douban.com/event/32567612/,65元(vip),2019-07-27T14:30:00,27
beijing,北京,Ai音乐——木吉他、电吉他、尤克里里、非洲鼓同城体验课,https://www.douban.com/event/32580827/,9.9元(体验券),2019-07-20T09:00:00,50
beijing,北京,近景话剧 | 和话剧的第一次零距离接触,https://www.douban.com/event/32675299/,85元(会员价)起,2019-08-17T14:00:00,39
beijing,北京,【周日】王者荣耀撕名牌之阴虎符的秘密,https://www.douban.com/event/32679272/,39元(活动费),2019-08-18T15:00:00,50
beijing,北京,北京|现代家具 家居博览,https://www.douban.com/event/32561331/,免费,2019-09-07T09:30:00,27
beijing,北京,【周六日】强身健体，保卫祖国--攀岩运动从此开始,https://www.douban.com/event/32541217/,99元(会员票),2019-07-20T13:00:00,42
beijing,北京,每周末：豆瓣相约地铁逃脱,https://www.douban.com/event/32678911/,69.0元(人均),2019-08-24T10:00:00,29
beijing,北京,”THE MOMENT“摄影群展,https://www.douban.com/event/32782601/,免费,2019-09-08T10:30:00,23
